objectid,filename,title,creator,date,description,subject,location,latitude,longitude,type,format,language,rights,rightsstatement,rightsholder,rightsnote,publisher,source,identifier
1947_e-47_3-24,1947_e-47_3-24.jpg,"Aerial photograph from E[ugene], frame E-3-24.",Leonard Delano,1947,"E-3-24 [aerial photograph]. 1:12,000. E[ugene]. Portland, OR: Leonard Delano, 1947.",Eugene (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,Leonard Delano,"University of Oregon Libraries, Aerial Photography Research Service",1947_e-47_3-24
1947_e-47_3-25,1947_e-47_3-25.jpg,"Aerial photograph from E[ugene], frame E-3-25.",Leonard Delano,1947,"E-3-25 [aerial photograph]. 1:12,000. E[ugene]. Portland, OR: Leonard Delano, 1947.",Eugene (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,Leonard Delano,"University of Oregon Libraries, Aerial Photography Research Service",1947_e-47_3-25
1951_dbq_4h-85,1951_dbq_4h-85.jpg,"Aerial photograph from DBQ, frame DBQ-4H-85.",Jack Amman Photogrammetric Engineers,1951,"DBQ-4H-85 [aerial photograph]. 1:20,000. DBQ. San Antonio, Texas: U.S. Department of Agriculture, Production and Marketing Administration, 1951.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Production and Marketing Administration","University of Oregon Libraries, Aerial Photography Research Service",1951_dbq_4h-85
1951_dbq_4h-135,1951_dbq_4h-135.jpg,"Aerial photograph from DBQ, frame DBQ-4H-135.",Jack Amman Photogrammetric Engineers,1951,"DBQ-4H-135 [aerial photograph]. 1:20,000. DBQ. San Antonio, Texas: U.S. Department of Agriculture, Production and Marketing Administration, 1951.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Production and Marketing Administration","University of Oregon Libraries, Aerial Photography Research Service",1951_dbq_4h-135
1951_dbq_4h-136,1951_dbq_4h-136.jpg,"Aerial photograph from DBQ, frame DBQ-4H-136.",Jack Amman Photogrammetric Engineers,1951,"DBQ-4H-136 [aerial photograph]. 1:20,000. DBQ. San Antonio, Texas: U.S. Department of Agriculture, Production and Marketing Administration, 1951.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Production and Marketing Administration","University of Oregon Libraries, Aerial Photography Research Service",1951_dbq_4h-136
1951_dbq_4h-137,1951_dbq_4h-137.jpg,"Aerial photograph from DBQ, frame DBQ-4H-137.",Jack Amman Photogrammetric Engineers,1951,"DBQ-4H-137 [aerial photograph]. 1:20,000. DBQ. San Antonio, Texas: U.S. Department of Agriculture, Production and Marketing Administration, 1951.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Production and Marketing Administration","University of Oregon Libraries, Aerial Photography Research Service",1951_dbq_4h-137
1952_dbq_6h-206,1952_dbq_6h-206.jpg,"Aerial photograph from DBQ, frame DBQ-6H-206.",Jack Amman Photogrammetric Engineers,1952,"DBQ-6H-206 [aerial photograph]. 1:20,000. DBQ. San Antonio, Texas: U.S. Department of Agriculture, Production and Marketing Administration, 1952.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Production and Marketing Administration","University of Oregon Libraries, Aerial Photography Research Service",1952_dbq_6h-206
1952_lc1_18n-32,1952_lc1_18n-32.jpg,"Aerial photograph from LC1, frame 18N-32.","Pacific Aerial Surveys, Inc.",1952,"18N-32 [aerial photograph]. 1:13,500. LC1. Seattle, WA: Lane County Aerial Survey, 1952.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,Lane County Aerial Survey,"University of Oregon Libraries, Aerial Photography Research Service",1952_lc1_18n-32
1960_dbq_4aa-23,1960_dbq_4aa-23.jpg,"Aerial photograph from DBQ, frame DBQ-4AA-23.","Mark Hurd Aerial Surveys, Inc.",1960,"DBQ-4AA-23 [aerial photograph]. 1:20,000. DBQ. Goleta, CA: U.S. Department of Agriculture, Commodity Stabilization Service, 1960.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Commodity Stabilization Service","University of Oregon Libraries, Aerial Photography Research Service",1960_dbq_4aa-23
1960_dbq_4aa-25,1960_dbq_4aa-25.jpg,"Aerial photograph from DBQ, frame DBQ-4AA-25.","Mark Hurd Aerial Surveys, Inc.",1960,"DBQ-4AA-25 [aerial photograph]. 1:20,000. DBQ. Goleta, CA: U.S. Department of Agriculture, Commodity Stabilization Service, 1960.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Commodity Stabilization Service","University of Oregon Libraries, Aerial Photography Research Service",1960_dbq_4aa-25
1960_dbq_4aa-79,1960_dbq_4aa-79.jpg,"Aerial photograph from DBQ, frame DBQ-4AA-79.","Mark Hurd Aerial Surveys, Inc.",1960,"DBQ-4AA-79 [aerial photograph]. 1:20,000. DBQ. Goleta, CA: U.S. Department of Agriculture, Commodity Stabilization Service, 1960.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Commodity Stabilization Service","University of Oregon Libraries, Aerial Photography Research Service",1960_dbq_4aa-79
1968_dbq_2jj-15,1968_dbq_2jj-15.jpg,"Aerial photograph from DBQ, frame DBQ-2JJ-15.","Western Aerial Contractors, Inc.",1968,"DBQ-2JJ-15 [aerial photograph]. 1:20,000. DBQ. Eugene, OR: U.S. Department of Agriculture, Agricultural Stabilization and Conservation Service, 1968.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Agricultural Stabilization and Conservation Service","University of Oregon Libraries, Aerial Photography Research Service",1968_dbq_2jj-15
1968_dbq_2jj-16,1968_dbq_2jj-16.jpg,"Aerial photograph from DBQ, frame DBQ-2JJ-16.","Western Aerial Contractors, Inc.",1968,"DBQ-2JJ-16 [aerial photograph]. 1:20,000. DBQ. Eugene, OR: U.S. Department of Agriculture, Agricultural Stabilization and Conservation Service, 1968.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Agricultural Stabilization and Conservation Service","University of Oregon Libraries, Aerial Photography Research Service",1968_dbq_2jj-16
1968_dbq_2jj-17,1968_dbq_2jj-17.jpg,"Aerial photograph from DBQ, frame DBQ-2JJ-17.","Western Aerial Contractors, Inc.",1968,"DBQ-2JJ-17 [aerial photograph]. 1:20,000. DBQ. Eugene, OR: U.S. Department of Agriculture, Agricultural Stabilization and Conservation Service, 1968.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Agricultural Stabilization and Conservation Service","University of Oregon Libraries, Aerial Photography Research Service",1968_dbq_2jj-17
1968_dbq_2jj-69,1968_dbq_2jj-69.jpg,"Aerial photograph from DBQ, frame DBQ-2JJ-69.","Western Aerial Contractors, Inc.",1968,"DBQ-2JJ-69 [aerial photograph]. 1:20,000. DBQ. Eugene, OR: U.S. Department of Agriculture, Agricultural Stabilization and Conservation Service, 1968.",Eugene (Or.) – Aerial Photographs; Lane County (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"U.S. Department of Agriculture, Agricultural Stabilization and Conservation Service","University of Oregon Libraries, Aerial Photography Research Service",1968_dbq_2jj-69
1975_wac-75_16a-9,1975_wac-75_16a-9.jpg,"Aerial photograph from WAC-75, frame 16A-9.","WAC, Corp.",1975,"16A-9 [aerial photograph]. 1:13,800. WAC-75. Eugene, OR: WAC, Corp., 1975.",Eugene (Or.) – Aerial Photographs; Willamette Valley (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"WAC, Corp.","University of Oregon Libraries, Aerial Photography Research Service",1975_wac-75_16a-9
1975_wac-75_17a-7,1975_wac-75_17a-7.jpg,"Aerial photograph from WAC-75, frame 17A-7.","WAC, Corp.",1975,"17A-7 [aerial photograph]. 1:13,800. WAC-75. Eugene, OR: WAC, Corp., 1975.",Eugene (Or.) – Aerial Photographs; Willamette Valley (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"WAC, Corp.","University of Oregon Libraries, Aerial Photography Research Service",1975_wac-75_17a-7
1975_wac-75_17a-8,1975_wac-75_17a-8.jpg,"Aerial photograph from WAC-75, frame 17A-8.","WAC, Corp.",1975,"17A-8 [aerial photograph]. 1:13,800. WAC-75. Eugene, OR: WAC, Corp., 1975.",Eugene (Or.) – Aerial Photographs; Willamette Valley (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"WAC, Corp.","University of Oregon Libraries, Aerial Photography Research Service",1975_wac-75_17a-8
1975_wac-75_17a-11,1975_wac-75_17a-11.jpg,"Aerial photograph from WAC-75, frame 17A-11.","WAC, Corp.",1975,"17A-11 [aerial photograph]. 1:13,800. WAC-75. Eugene, OR: WAC, Corp., 1975.",Eugene (Or.) – Aerial Photographs; Willamette Valley (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"WAC, Corp.","University of Oregon Libraries, Aerial Photography Research Service",1975_wac-75_17a-11
1975_wac-75_18a-8,1975_wac-75_18a-8.jpg,"Aerial photograph from WAC-75, frame 18A-8.","WAC, Corp.",1975,"18A-8 [aerial photograph]. 1:13,800. WAC-75. Eugene, OR: WAC, Corp., 1975.",Eugene (Or.) – Aerial Photographs; Willamette Valley (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"WAC, Corp.","University of Oregon Libraries, Aerial Photography Research Service",1975_wac-75_18a-8
1975_wac-75_19-6,1975_wac-75_19-6.jpg,"Aerial photograph from WAC-75, frame 19-6.","WAC, Corp.",1975,"19-6 [aerial photograph]. 1:13,800. WAC-75. Eugene, OR: WAC, Corp., 1975.",Eugene (Or.) – Aerial Photographs; Willamette Valley (Or.) – Aerial Photographs,"Eugene, Oregon",44.05207,-123.08675,image,image/jpg,,NO COPYRIGHT - CONTRACTUAL RESTRICTIONS,https://rightsstatements.org/page/NoC-CR/1.0/?language=en,University of Oregon Libraries,Original print is in the public domain. Digital image is made available under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license. See https://creativecommons.org/licenses/by-nc-sa/4.0/ for further details.,"WAC, Corp.","University of Oregon Libraries, Aerial Photography Research Service",1975_wac-75_19-6
west-eugene-butterflies_2020,west-eugene-butterflies_2020.pdf,Butterflies In West Eugene,City of Eugene; North American Butterfly Association,2020-09-04,"A scientific and taxonomic list of the North American Butterflies Occurring North of Mexico provided by The North American Butterfly Association. The list is split into eight categories: Papilonidae, Pieridae, Lycaenidae, Lycaenidae, Nymphalidae, Hesperidae, Hesperidae and Day-Flying Moths.","Butterflies, Pieridae, Lycaenidae, Lycaenidae, Nymphalidae, Hesperidae, Hesperidae, ","Eugene, Oregon",,,text,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,https://www.eugene-or.gov/DocumentCenter/View/56791/Butterflies-in-West-Eugene ,west-eugene-butterflies_2020
west-eugene-birds_2020,west-eugene-birds_2020.pdf,Birds of West Eugene,City of Eugene,2020-09-04,"A document that lists the different species of birds that inhabit the wetlands and forested areas of West Eugene. The list provides the birds common name, scientific name, and the time of year they can be seen in West Eugene.",birds; birding sites; wetlands; ,"Eugene, Oregon",44.05601,-123.1631,text,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,https://www.eugene-or.gov/DocumentCenter/View/56792/Birds-in-West-Eugene,west-eugene-birds_2020
west-eugene-land-water_2020,west-eugene-land-water_2020.pdf,Land and Water in West Eugene,City of Eugene,2020-09-04,"The document describes the geology and geomorphology of the waterways in West Eugene. It studies the content of the local ground water and surface water. It notes the surrounding vegetation and the direction of flow of the rivers and creeks of West Eugene. Specifically Amazon Creek, Willow Creek and the A3 Channel. Identifies floodplains and wetland areas in West Eugene.",land use – planning; wetland management,"Eugene, Oregon",44.0514,-123.0896,text,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,https://www.eugene-or.gov/DocumentCenter/View/56793/Lane-and-Water-in-West-Eugene,west-eugene-land-water_2020
west-eugene-wetlands-guide_2006,west-eugene-wetlands-guide_2006.pdf,West Eugene Wetland Guide,"City of Eugene; Lane Council of Governments; Nature Conservancy; National Park Service; Lane County Audubon Society; Gleason, Barbara; Kerst, Cary; Benotsch, Matthew; Stutzman, Esther; Finney, Sarah",2006-04-01,"This poster combines photos and information from Eugene organizations to provide the public with information different areas within West Eugene's Wet Lands. Meadowlark Prairie is being restored to reflect and return the land to its historic terrain. Bertelsen Nature Park houses a wide variety of species and habitats. Tsal Luk-wah ""River of Grass"" is a wet prairie located in the center of the West Eugene Wetlands. This prairie was named to reflect its connection to the Kalapuyan people.  ",wetland management; Kalapuya Indians; parks,"Eugene, Oregon",44.0521,-123.0868,image,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,https://www.eugene-or.gov/DocumentCenter/View/28159/West-Eugene-Wetlands-Guide,west-eugene-wetlands-guide_2006
west-eugene-dragonflies_2020,west-eugene-dragonflies_2020.pdf,Dragonflies in West Eugene,City of Eugene,2020-09-04,"A list of dragonfly and damselfly species that can be found in West Eugene. The West Eugene Wetlands, specifically Bertelsen Nature Park was the best place to observe dragonflies and damselflies in the Willamette Valley when the report was published.",dragonflies; wetland management; wetland biodiversity,"Eugene, Oregon",44.05258055,-123.1546997,text,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,https://www.eugene-or.gov/DocumentCenter/View/56796/Dragonflies-in-West-Eugene,west-eugene-dragonflies_2020
west-eugene-animals_2020,west-eugene-animals_2020.pdf,"Reptiles, Amphibians and Mammals in West Eugene",City of Eugene,2020-09-04,"A record of the verified reptiles, amphibians, and mammals that reside in West Eugene. ",reptiles;mammals;amphibians;animals,"Eugene, Oregon",,,image,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,https://www.eugene-or.gov/DocumentCenter/View/56795/Reptiles-Amphibians-and-Mammals-in-West-Eugene,west-eugene-animals_2020
west-eugene-vegetation_2020,west-eugene-vegetation_2020.pdf,Historical Vegetation in West Eugene,City of Eugene,2020-09-04,"Prior to the 1850s, Kalapuya Native Americans were located along the Willamette Valley and used wetland plants for many purposes. Their practices had created many historical wetland types. This article discusses the environmental changes the Willamette Valley and the wetlands of West Eugene went through during European settlement. Growing Eugene and the engineering of dams have since changed the wetland management. ",Kalapuya Indians; land use; wetland management; industrial development projects,"Eugene, Oregon",,,image,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,City of Eugene,,City of Eugene,https://www.eugene-or.gov/DocumentCenter/View/56794/Historical-Vegetation-in-West-Eugene ,west-eugene-vegetation_2020
register-guard_i-too-am-eugene_2003,register-guard_i-too-am-eugene_2003.pdf,"""I Too Am Eugene"": Project Studies History and Contributions of Minority Citizens","Mosley, Joe",2003-07-19,"Describes a summer youth program put on by Lane Community College and created by two Black residents of Eugene, Cheri Turpin and Mark Harris, who felt their children weren't being taught enough about Black history in school. This part of the program included a half-day tour of Eugene for Black middle and high school students that visited several important historical sites of Black history in Eugene, including Wiley Griffon's grave, the St. Mark Church (where they had a Q&A session with Mattie Reynolds), and the Mims family home. The program, named ""I Too Am Eugene,"" also included offerings for Asian, Latinx, and Indigenous children.",African American/Black communities; education; history; racism; newspapers,"Eugene, Oregon",,,text,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,https://infoweb.newsbank.com/apps/news/openurl?ctx_ver=z39.88-2004&rft_id=info%3Asid/infoweb.newsbank.com&svc_dat=WORLDNEWS&req_dat=0F4D0B17197442A2&rft_val_format=info%3Aofi/fmt%3Akev%3Amtx%3Actx&rft_dat=document_id%3Anews%252F10D4EA6A45139368,register-guard_i-too-am-eugene_2003
wolfe_first-at-bat,wolfe_first-at-bat.pdf,First at Bat: The Legacy of the Eugene Larks,"Wolfe, Mike",,"Article about the Eugene Larks, the first professional baseball team to call Eugene, Oregon home. The Larks played at a stadium called Bethel Park. In 1952, the Larks ceased to exist, which resulted in the birth of the Eugene Emeralds in 1955. By 1968, Bethel Park was destroyed, and Civic Park was built. ",building; athletic fields; stadiums; minor league baseball; local history materials,"Eugene, Oregon",44.0371,123.0908,text,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,Eugene Magazine,,Eugene Magazine,https://eugenemagazine.com/community-pulse/first-at-bat/ ,wolfe_first-at-bat
register-guard_tent-city_2005,register-guard_tent-city_2005.pdf,Tent City Stakes Its Claim in History,"Maben, Scott",2005-02-13,"This article talks about Lane Community College's Black Student Union and its reenactment of Eugene's Tent City in honor of Black History Month. Students pitched a tent in Alton Baker Park to recall the era of Tent City in the 1940's, which was the only part of town Black residents were allowed to reside in until the area was bulldozed to allow for reconstruction of the Ferry Street bridge, forcing Tent City residents to relocate to parts of Glenwood and West Eugene. Mattie Reynolds of Reynolds family legacy is sourced as somebody who lived in Tent City and remembered what it was like to be there. ","zoning, exclusionary; African American History Month; prejudices; segregation; advocacy; housing; discrimination in housing; racism against Black people","Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&docref=news/108502A9DDD73D18,register-guard_tent-city_2005
register-guard_mother-reynolds-day_2003,register-guard_mother-reynolds-day_2003.pdf,Mother Reynolds' Day,"Freehan, Jim",2003-08-18,"St. Mark Christian Methodist Episcopal Church recognizes the contributions of 84-year-old Mattie Reynolds to both the church and the city of Eugene, Oregon. The article highlights her dedication and impact within the church community as well as her involvement in local politics. In 1966 Reynolds became the first Black candidate to run for public office in Lane County. She has also worked with the Congress for Racial Equality to challenge job and housing discrimination that she personally experienced.","prejudices; segregation; communities--religious aspects--African American churches; local history materials; Reynolds family; zoning, exclusionary; racial relations; African American/Black communities; religion","Eugene, Oregon",44.0521,-123.0868,text,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,Register-Guard,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&docref=news/10D4EA7787AC0128 ,register-guard_mother-reynolds-day_2003
lane-county_bipoc-map-and-details_2020,lane-county_bipoc-map-and-details_2020.pdf,Lane County BIPOC Map and Location Details,Lane County; City of Eugene; Lane County Historical Society ,2020-11-06,"This work showcases two maps, comprised by Lane County Officials, identifying locations throughout the area of significance or history regarding Black, Indigenous, and People of Color's (BIPOC) communities. The two maps mostly cover the Eugene-Springfield Metro Area and the Ferry Street Bridge area in Eugene, Oregon. These maps indicate where either Community Efforts, Government Action, Immersion Schools, Across the Bridge Communities, or Organized Racism took place in these regions regarding the BIPOC communities of Lane County. The images are originally taken from an interactive website, where the specific location name pops up that corresponds with the descriptions. In this document, below the maps are detailed descriptions associated with each identified location, including the label, address, and other source materials which support the classification. Here is the interactive website: https://public.tableau.com/app/profile/lane.county/viz/LaneCountyBIPOCTimelineMap/IntroPage ",Black/African American communities; indigenous communities; map collections; community organization; government; Study and teaching--Immersion method; racism; racial justice; history ,"Eugene, Oregon",44.0521,123.0868,image,application/pdf,English,IN COPYRIGHT. ,http://rightsstatements.org/vocab/InC/1.0/,The Register-Guard,,"Lane County, Oregon",https://p1cdn4static.civiclive.com/UserFiles/Servers/Server_3585797/File/Government/Advisory%20Boards%20and%20Commissions/Equity%20and%20Access%20Advisory%20Board/Lane%20County%20BIPOC%20Map%20&%20Location%20Detail.pdf,lane-county_bipoc-map-and-details_2020
